id,name,search_name,aliases,nationality,position,position_group,birth_year,active_from,active_to,is_retired,clubs,main_clubs,national_team,image_url,difficulty,popularity_score,source,source_id
cristiano_ronaldo_dos_santos_aveiro_1985,Cristiano Ronaldo dos Santos Aveiro,cristiano ronaldo dos santos aveiro cristiano ronaldo aveiro,"[""Cristiano Ronaldo"",""Cristiano Ronaldo dos Santos Aveiro"",""Aveiro""]",Portugal,"ST,LW",Attack,1985,,,false,[],[],Portugal,,Easy,1954,fifa_players_csv,cristiano_ronaldo_dos_santos_aveiro_1985
lionel_andres_messi_cuccittini_1987,Lionel Andrés Messi Cuccittini,lionel andres messi cuccittini l messi cuccittini,"[""L. Messi"",""Lionel Andrés Messi Cuccittini"",""Cuccittini""]",Argentina,"CF,RW,ST",Attack,1987,,,false,[],[],Argentina,,Easy,1954,fifa_players_csv,lionel_andres_messi_cuccittini_1987
neymar_da_silva_santos_junior_1992,Neymar da Silva Santos Junior,neymar da silva santos junior neymar jr junior,"[""Neymar Jr"",""Neymar da Silva Santos Junior"",""Junior""]",Brazil,"LW,CAM",Attack,1992,,,false,[],[],Brazil,,Easy,1932,fifa_players_csv,neymar_da_silva_santos_junior_1992
luis_alberto_suarez_diaz_1987,Luis Alberto Suárez Díaz,luis alberto suarez diaz l suarez diaz,"[""L. Suárez"",""Luis Alberto Suárez Díaz"",""Díaz""]",Uruguay,ST,Attack,1987,,,false,[],[],Uruguay,,Easy,1921,fifa_players_csv,luis_alberto_suarez_diaz_1987
manuel_neuer_1986,Manuel Neuer,manuel neuer m neuer neuer,"[""M. Neuer"",""Manuel Neuer"",""Neuer""]",Germany,GK,Goalkeeper,1986,,,false,[],[],Germany,,Easy,1899,fifa_players_csv,manuel_neuer_1986
david_de_gea_quintana_1990,David De Gea Quintana,david de gea quintana de gea quintana,"[""De Gea"",""David De Gea Quintana"",""Quintana""]",Spain,GK,Goalkeeper,1990,,,false,[],[],Spain,,Easy,1843,fifa_players_csv,david_de_gea_quintana_1990
kevin_de_bruyne_1991,Kevin De Bruyne,kevin de bruyne k de bruyne bruyne,"[""K. De Bruyne"",""Kevin De Bruyne"",""Bruyne""]",Belgium,"CAM,CM",Midfield,1991,,,false,[],[],Belgium,,Easy,1842,fifa_players_csv,kevin_de_bruyne_1991
eden_hazard_1991,Eden Hazard,eden hazard e hazard hazard,"[""E. Hazard"",""Eden Hazard"",""Hazard""]",Belgium,"LW,CF",Attack,1991,,,false,[],[],Belgium,,Easy,1841,fifa_players_csv,eden_hazard_1991
giorgio_chiellini_1984,Giorgio Chiellini,giorgio chiellini g chiellini chiellini,"[""G. Chiellini"",""Giorgio Chiellini"",""Chiellini""]",Italy,CB,Defence,1984,,,false,[],[],Italy,,Easy,1830,fifa_players_csv,giorgio_chiellini_1984
robert_lewandowski_1988,Robert Lewandowski,robert lewandowski r lewandowski lewandowski,"[""R. Lewandowski"",""Robert Lewandowski"",""Lewandowski""]",Poland,ST,Attack,1988,,,false,[],[],Poland,,Easy,1830,fifa_players_csv,robert_lewandowski_1988
sergio_ramos_garcia_1986,Sergio Ramos García,sergio ramos garcia sergio ramos garcia,"[""Sergio Ramos"",""Sergio Ramos García"",""García""]",Spain,CB,Defence,1986,,,false,[],[],Spain,,Easy,1830,fifa_players_csv,sergio_ramos_garcia_1986
toni_kroos_1990,Toni Kroos,toni kroos t kroos kroos,"[""T. Kroos"",""Toni Kroos"",""Kroos""]",Germany,CM,Midfield,1990,,,false,[],[],Germany,,Easy,1830,fifa_players_csv,toni_kroos_1990
antoine_griezmann_1991,Antoine Griezmann,antoine griezmann a griezmann griezmann,"[""A. Griezmann"",""Antoine Griezmann"",""Griezmann""]",France,"CF,ST",Attack,1991,,,false,[],[],France,,Easy,1820,fifa_players_csv,antoine_griezmann_1991
thibaut_courtois_1992,Thibaut Courtois,thibaut courtois t courtois courtois,"[""T. Courtois"",""Thibaut Courtois"",""Courtois""]",Belgium,GK,Goalkeeper,1992,,,false,[],[],Belgium,,Easy,1820,fifa_players_csv,thibaut_courtois_1992
edinson_roberto_cavani_gomez_1987,Edinson Roberto Cavani Gómez,edinson roberto cavani gomez e cavani gomez,"[""E. Cavani"",""Edinson Roberto Cavani Gómez"",""Gómez""]",Uruguay,ST,Attack,1987,,,false,[],[],Uruguay,,Easy,1819,fifa_players_csv,edinson_roberto_cavani_gomez_1987
sergio_busquets_i_burgos_1988,Sergio Busquets i Burgos,sergio busquets i burgos sergio busquets burgos,"[""Sergio Busquets"",""Sergio Busquets i Burgos"",""Burgos""]",Spain,"CDM,CM",Midfield,1988,,,false,[],[],Spain,,Easy,1819,fifa_players_csv,sergio_busquets_i_burgos_1988
sergio_leonel_aguero_del_castillo_1988,Sergio Leonel Agüero del Castillo,sergio leonel aguero del castillo s aguero castillo,"[""S. Agüero"",""Sergio Leonel Agüero del Castillo"",""Castillo""]",Argentina,ST,Attack,1988,,,false,[],[],Argentina,,Easy,1819,fifa_players_csv,sergio_leonel_aguero_del_castillo_1988
paul_pogba_1993,Paul Pogba,paul pogba p pogba pogba,"[""P. Pogba"",""Paul Pogba"",""Pogba""]",France,"CM,CAM",Midfield,1993,,,false,[],[],France,,Easy,1811,fifa_players_csv,paul_pogba_1993
gareth_frank_bale_1989,Gareth Frank Bale,gareth frank bale g bale bale,"[""G. Bale"",""Gareth Frank Bale"",""Bale""]",Wales,"RW,LW,ST",Attack,1989,,,false,[],[],Wales,,Easy,1808,fifa_players_csv,gareth_frank_bale_1989
hugo_lloris_1986,Hugo Lloris,hugo lloris h lloris lloris,"[""H. Lloris"",""Hugo Lloris"",""Lloris""]",France,GK,Goalkeeper,1986,,,false,[],[],France,,Easy,1808,fifa_players_csv,hugo_lloris_1986
marco_reus_1989,Marco Reus,marco reus m reus reus,"[""M. Reus"",""Marco Reus"",""Reus""]",Germany,"CAM,LM,ST",Midfield,1989,,,false,[],[],Germany,,Easy,1808,fifa_players_csv,marco_reus_1989
mats_hummels_1988,Mats  Hummels,mats hummels m hummels hummels,"[""M. Hummels"",""Mats Hummels"",""Hummels""]",Germany,CB,Defence,1988,,,false,[],[],Germany,,Easy,1808,fifa_players_csv,mats_hummels_1988
james_david_rodriguez_rubio_1991,James David Rodríguez Rubio,james david rodriguez rubio j rodriguez rubio,"[""J. Rodríguez"",""James David Rodríguez Rubio"",""Rubio""]",Colombia,"CAM,CM,RM",Midfield,1991,,,false,[],[],Colombia,,Easy,1798,fifa_players_csv,james_david_rodriguez_rubio_1991
thomas_muller_1989,Thomas Müller,thomas muller t muller muller,"[""T. Müller"",""Thomas Müller"",""Müller""]",Germany,"CAM,RM,RW,CF",Midfield,1989,,,false,[],[],Germany,,Easy,1786,fifa_players_csv,thomas_muller_1989
arturo_vidal_1987,Arturo Vidal,arturo vidal a vidal vidal,"[""A. Vidal"",""Arturo Vidal"",""Vidal""]",Chile,"CM,CDM",Midfield,1987,,,false,[],[],Chile,,Easy,1775,fifa_players_csv,arturo_vidal_1987
jerome_boateng_1988,Jérôme Boateng,jerome boateng j boateng boateng,"[""J. Boateng"",""Jérôme Boateng"",""Boateng""]",Germany,CB,Defence,1988,,,false,[],[],Germany,,Easy,1775,fifa_players_csv,jerome_boateng_1988
vincent_kompany_1986,Vincent Kompany,vincent kompany v kompany kompany,"[""V. Kompany"",""Vincent Kompany"",""Kompany""]",Belgium,CB,Defence,1986,,,false,[],[],Belgium,,Easy,1775,fifa_players_csv,vincent_kompany_1986
david_olatukunbo_alaba_1992,David Olatukunbo Alaba,david olatukunbo alaba d alaba alaba,"[""D. Alaba"",""David Olatukunbo Alaba"",""Alaba""]",Austria,"LB,CB",Defence,1992,,,false,[],[],Austria,,Easy,1766,fifa_players_csv,david_olatukunbo_alaba_1992
alexis_alejandro_sanchez_sanchez_1988,Alexis Alejandro Sánchez Sánchez,alexis alejandro sanchez sanchez a sanchez sanchez,"[""A. Sánchez"",""Alexis Alejandro Sánchez Sánchez"",""Sánchez""]",Chile,"LW,LM",Attack,1988,,,false,[],[],Chile,,Easy,1764,fifa_players_csv,alexis_alejandro_sanchez_sanchez_1988
kepler_laveran_lima_ferreira_1983,Képler Laveran Lima Ferreira,kepler laveran lima ferreira pepe ferreira,"[""Pepe"",""Képler Laveran Lima Ferreira"",""Ferreira""]",Portugal,CB,Defence,1983,,,false,[],[],FC Porto,,Easy,1758,fifa_players_csv,kepler_laveran_lima_ferreira_1983
jan_oblak_1993,Jan Oblak,jan oblak j oblak oblak,"[""J. Oblak"",""Jan Oblak"",""Oblak""]",Slovenia,GK,Goalkeeper,1993,,,false,[],[],Slovenia,,Easy,1753,fifa_players_csv,jan_oblak_1993
harry_kane_1993,Harry Kane,harry kane h kane kane,"[""H. Kane"",""Harry Kane"",""Kane""]",England,ST,Attack,1993,,,false,[],[],England,,Easy,1752,fifa_players_csv,harry_kane_1993
diego_godin_1986,Diego Godín,diego godin d godin godin,"[""D. Godín"",""Diego Godín"",""Godín""]",Uruguay,CB,Defence,1986,,,false,[],[],Uruguay,,Easy,1750,fifa_players_csv,diego_godin_1986
zlatan_ibrahimovic_1981,Zlatan Ibrahimović,zlatan ibrahimovic z ibrahimovic ibrahimovic,"[""Z. Ibrahimović"",""Zlatan Ibrahimović"",""Ibrahimović""]",Sweden,ST,Attack,1981,,,false,[],[],Sweden,,Easy,1749,fifa_players_csv,zlatan_ibrahimovic_1981
paulo_bruno_exequiel_dybala_1993,Paulo Bruno Exequiel Dybala,paulo bruno exequiel dybala p dybala dybala,"[""P. Dybala"",""Paulo Bruno Exequiel Dybala"",""Dybala""]",Argentina,"CAM,RW",Midfield,1993,,,false,[],[],Argentina,,Easy,1744,fifa_players_csv,paulo_bruno_exequiel_dybala_1993
marc_andre_ter_stegen_1992,Marc-André ter Stegen,marc andre ter stegen m ter stegen stegen,"[""M. ter Stegen"",""Marc-André ter Stegen"",""Stegen""]",Germany,GK,Goalkeeper,1992,,,false,[],[],Germany,,Easy,1742,fifa_players_csv,marc_andre_ter_stegen_1992
luka_modric_1985,Luka Modrić,luka modric l modric modric,"[""L. Modrić"",""Luka Modrić"",""Modrić""]",Croatia,CM,Midfield,1985,,,false,[],[],Croatia,,Easy,1741,fifa_players_csv,luka_modric_1985
mohamed_salah_ghaly_1992,Mohamed  Salah Ghaly,mohamed salah ghaly m salah ghaly,"[""M. Salah"",""Mohamed Salah Ghaly"",""Ghaly""]",Egypt,"RW,ST",Attack,1992,,,false,[],[],Egypt,,Easy,1740,fifa_players_csv,mohamed_salah_ghaly_1992
n_golo_kante_1991,N'Golo Kanté,n golo kante n kante kante,"[""N. Kanté"",""N'Golo Kanté"",""Kanté""]",France,"CDM,CM",Midfield,1991,,,false,[],[],France,,Easy,1740,fifa_players_csv,n_golo_kante_1991
kylian_mbappe_1998,Kylian Mbappé,kylian mbappe k mbappe mbappe,"[""K. Mbappé"",""Kylian Mbappé"",""Mbappé""]",France,"RW,ST,RM",Attack,1998,,,false,[],[],France,,Easy,1735,fifa_players_csv,kylian_mbappe_1998
david_josue_jimenez_silva_1986,David Josué Jiménez Silva,david josue jimenez silva david silva silva,"[""David Silva"",""David Josué Jiménez Silva"",""Silva""]",Spain,"CAM,CM",Midfield,1986,,,false,[],[],Spain,,Easy,1730,fifa_players_csv,david_josue_jimenez_silva_1986
virgil_van_dijk_1991,Virgil van Dijk,virgil van dijk v van dijk dijk,"[""V. van Dijk"",""Virgil van Dijk"",""Dijk""]",Netherlands,CB,Defence,1991,,,false,[],[],Netherlands,,Easy,1730,fifa_players_csv,virgil_van_dijk_1991
christian_dannemann_eriksen_1992,Christian  Dannemann Eriksen,christian dannemann eriksen c eriksen eriksen,"[""C. Eriksen"",""Christian Dannemann Eriksen"",""Eriksen""]",Denmark,"CAM,RM,CM",Midfield,1992,,,false,[],[],Denmark,,Easy,1729,fifa_players_csv,christian_dannemann_eriksen_1992
lorenzo_insigne_1991,Lorenzo Insigne,lorenzo insigne l insigne insigne,"[""L. Insigne"",""Lorenzo Insigne"",""Insigne""]",Italy,"LW,ST",Attack,1991,,,false,[],[],Italy,,Easy,1728,fifa_players_csv,lorenzo_insigne_1991
francisco_roman_alarcon_suarez_1992,Francisco Román Alarcón Suárez,francisco roman alarcon suarez isco suarez,"[""Isco"",""Francisco Román Alarcón Suárez"",""Suárez""]",Spain,"CAM,CM,LW",Midfield,1992,,,false,[],[],Spain,,Easy,1720,fifa_players_csv,francisco_roman_alarcon_suarez_1992
mauro_emanuel_icardi_rivero_1993,Mauro Emanuel Icardi Rivero,mauro emanuel icardi rivero m icardi rivero,"[""M. Icardi"",""Mauro Emanuel Icardi Rivero"",""Rivero""]",Argentina,ST,Attack,1993,,,false,[],[],Argentina,,Easy,1720,fifa_players_csv,mauro_emanuel_icardi_rivero_1993
raheem_sterling_1994,Raheem Sterling,raheem sterling r sterling sterling,"[""R. Sterling"",""Raheem Sterling"",""Sterling""]",England,"RW,LW",Attack,1994,,,false,[],[],England,,Easy,1719,fifa_players_csv,raheem_sterling_1994
toby_alderweireld_1989,Toby Alderweireld,toby alderweireld t alderweireld alderweireld,"[""T. Alderweireld"",""Toby Alderweireld"",""Alderweireld""]",Belgium,CB,Defence,1989,,,false,[],[],Belgium,,Easy,1718,fifa_players_csv,toby_alderweireld_1989
